job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,label,seed,deadline_min
52,184.0002254085339,190.18969972724634,190.2063626821354,6.189474318712428,0.9997772933439958,4806.049988864667,4660225.508478906,False,969.6581432312132,0,A_blind,0,
53,184.8664344988042,190.2063626821354,190.24857641124797,5.339928183331182,2.5328237467538166,7016.126641187338,6803244.331568763,False,969.6581432312132,0,A_blind,0,
54,187.0904883363685,190.24857641124797,190.25916944336151,3.1580880748794584,0.6355819268125222,1812.0317790963406,1757051.3703945095,False,969.6581432312132,0,A_blind,0,
55,189.8129059452649,190.25916944336151,190.30116537841167,0.4462634980966129,2.5197561030091005,7016.1259878051505,6803243.698011404,False,969.6581432312132,0,A_blind,0,
56,191.36995797220294,191.36995797220294,191.38698285861528,0.0,1.0214931847411115,4806.051074659237,4783522.265268354,False,995.3124074128818,0,A_blind,0,
57,191.7315310748564,191.7315310748564,191.74377777712638,0.0,0.7348021361981434,1812.03674010681,1803542.6501162995,False,995.3124074128818,0,A_blind,0,
58,197.5305149647796,197.5305149647796,197.57119486647397,0.0,2.4407941016621404,7016.122039705083,7192927.536354345,False,1025.1998890054504,0,A_blind,0,
59,198.97016746882886,198.97016746882886,198.97961605001882,0.0,0.5669148713980482,1016.02834574357,1046370.4334902758,False,1029.8634264229117,0,A_blind,0,
60,199.29860459961594,214.29860459961594,214.33990757024333,15.0,2.478178237642839,7016.123908911882,7311955.518837879,False,1042.1645361123444,3,A_blind,0,
61,201.528614348377,229.33990757024333,229.35059940198684,27.811293221866322,0.6415099046113567,1812.0320754952306,1828638.6752858094,False,1009.1646279418317,3,A_blind,0,
62,202.38500797673944,239.35059940198684,239.36371554188446,36.965591425247396,0.7869683938565066,1812.0393484196927,1816200.2420250431,False,1002.2962490350881,2,A_blind,0,
63,203.58584033666497,239.36371554188446,239.37996894961077,35.77787520521949,0.9752044635778924,4806.048760223179,4817084.645051427,False,1002.2962490350881,0,A_blind,0,
64,204.31261362719025,239.37996894961077,239.42190975763532,35.067355322420525,2.51644848147301,7016.125822424074,7032236.594573871,False,1002.2962490350881,0,A_blind,0,
65,205.798612482971,239.42190975763532,239.43502761384744,33.62329727466431,0.7870713727263039,3008.039353568636,3014946.561031775,False,1002.2962490350881,0,A_blind,0,
66,208.6744748183647,239.43502761384744,239.44634717457978,30.760552795482738,0.6791736439401062,1016.033958682197,1018367.0256794377,False,1002.2962490350881,0,A_blind,0,
67,208.95319730771573,239.44634717457978,239.459114142069,30.49314986686406,0.7660180493540919,1812.0383009024677,1816199.1921024576,False,1002.2962490350881,0,A_blind,0,
68,212.35680739298013,239.459114142069,239.50130860258804,27.102306749088882,2.5316676311412456,7016.126583381557,7032237.357278703,False,1002.2962490350881,0,A_blind,0,
69,220.6335762575728,239.50130860258804,239.50947234435418,18.86773234501524,0.48982450596766747,1016.0244912252983,1018357.5364829003,False,1002.2962490350881,0,A_blind,0,
70,223.10961935937888,239.50947234435418,239.5261823684994,16.399852984975297,1.0026014487129944,4806.050130072435,4817086.018046199,False,1002.2962490350881,0,A_blind,0,
71,233.68572272104961,239.5261823684994,239.54675210699173,5.840459647449791,1.2341843095388267,3708.061709215477,3716576.3423373103,False,1002.2962490350881,0,A_blind,0,
72,235.1293996634903,239.54675210699173,239.56425540830494,4.417352443501443,1.0501980787921086,4806.05250990394,4817088.4033423895,False,1002.2962490350881,0,A_blind,0,
73,238.78952729495,239.56425540830494,239.58040715243436,0.7747281133549393,0.9691046477646199,4806.048455232388,4817084.339360301,False,1002.2962490350881,0,A_blind,0,
0,2.2664396798963655,12.266439679896365,12.308211121747275,10.0,2.5062865110546695,7016.125314325553,5674129.453916838,False,808.7269254343817,0,B_carbon_smart,0,92.26643967989637
1,5.6583880570651175,12.308211121747275,12.318101034361199,6.649823064682158,0.5933947568354349,1016.0296697378418,821690.550957195,False,808.7269254343817,0,B_carbon_smart,0,95.65838805706511
2,5.724085890954316,12.318101034361199,12.328634719903235,6.5940151434068826,0.6320211325221641,1016.0316010566261,821692.1128666975,False,808.7269254343817,0,B_carbon_smart,0,95.72408589095431
3,5.731612719067381,12.328634719903235,12.34872213666753,6.597022000835854,1.205245005857652,3708.060262250293,2998808.1752150864,False,808.7269254343817,0,B_carbon_smart,0,95.73161271906739
4,7.556959935586091,12.34872213666753,12.368275745523228,4.791762201081438,1.1732165313419445,3708.058660826567,2998806.8801006004,False,808.7269254343817,0,B_carbon_smart,0,97.5569599355861
5,12.954506015681275,12.954506015681275,12.968140678227034,0.0,0.8180797527454743,3008.040903987637,2432683.6718627797,False,808.7269254343817,0,B_carbon_smart,0,102.95450601568128
6,15.174696766557895,15.174696766557895,15.189116766595504,0.0,0.865200002256507,3008.0432600001127,2636504.5158022786,False,876.4849066040958,0,B_carbon_smart,0,105.1746967665579
7,17.659487353358752,17.659487353358752,17.673609920828028,0.0,0.8473540481564622,3008.042367702408,2694597.090377602,False,895.7975856024194,0,B_carbon_smart,0,107.65948735335876
8,26.906412319446034,26.906412319446034,26.925825873416194,0.0,1.1648132382096503,3708.0582406619105,3302011.4503544443,False,890.4961130721117,0,B_carbon_smart,0,116.90641231944603
9,46.63671320016263,51.63671320016263,51.64732534893676,5.0,0.6367289264476973,1812.0318364463224,1635183.2873032792,False,902.4031777003041,0,B_carbon_smart,0,136.63671320016263
10,57.16590604053925,72.16590604053926,72.17538664515381,15.000000000000007,0.5688362768731323,1016.0284418138436,1030014.3382790328,False,1013.7652607836658,0,B_carbon_smart,0,147.16590604053926
11,57.16999658738455,82.17538664515381,82.2170877501366,25.005390057769254,2.502066298967362,7016.125103314948,6794778.905469889,False,968.4517886175549,0,B_carbon_smart,0,147.16999658738456
12,64.37776596056497,82.2170877501366,82.22515022449107,17.839321789571628,0.48374846126805826,1016.0241874230634,983970.4415885636,False,968.4517886175549,0,B_carbon_smart,0,154.37776596056497
13,64.6067301535193,82.22515022449107,82.23496789810446,17.61842007097178,0.5890604168033727,1016.0294530208402,983975.5410661487,False,968.4517886175549,0,B_carbon_smart,0,154.6067301535193
14,67.98352562901842,82.23496789810446,82.2755963056484,14.251442269086041,2.437704452637347,7016.121885222632,6794775.788902629,False,968.4517886175549,0,B_carbon_smart,0,157.9835256290184
15,70.65700897409111,82.2755963056484,82.28665274951949,11.618587331557293,0.6633866322648274,1812.0331693316132,1754866.7638735375,False,968.4517886175549,0,B_carbon_smart,0,160.65700897409113
16,80.55595969217245,82.28665274951949,82.29619920036711,1.7306930573470396,0.5727870508571344,1016.0286393525429,983974.7530676308,False,968.4517886175549,0,B_carbon_smart,0,170.55595969217245
17,81.65997122542088,82.29619920036711,82.30593561690347,0.6362279749462374,0.5841849921815423,1016.029209249609,983975.3049854639,False,968.4517886175549,0,B_carbon_smart,0,171.65997122542086
18,82.61691529530766,82.61691529530766,82.62725832075463,0.0,0.6205815268187066,1016.0310290763409,983977.0673999173,False,968.4517886175549,0,B_carbon_smart,0,172.61691529530765
19,87.26320521209085,92.26320521209085,92.30574063989872,5.0,2.552125668472134,7016.127606283424,6844621.779546976,False,975.555486393541,0,B_carbon_smart,0,177.26320521209084
20,87.37801902999482,92.30574063989872,92.3256335276796,4.927721609903898,1.1935732668527983,3708.0596786633428,3617417.9633946945,False,975.555486393541,0,B_carbon_smart,0,177.37801902999482
21,87.79787684820067,92.3256335276796,92.33843891390505,4.527756679478927,0.7683231735274842,1812.0384161586765,1767744.0184394591,False,975.555486393541,0,B_carbon_smart,0,177.79787684820067
22,90.99300960867713,92.33843891390505,92.34955125167714,1.345429305227924,0.6667402663256693,1812.0333370133162,1767739.0634513367,False,975.555486393541,0,B_carbon_smart,0,180.99300960867714
23,93.38950061551863,93.38950061551863,93.40312687391037,0.0,0.817575503504651,3008.0408787751753,2900783.8657541354,False,964.3432329068901,0,B_carbon_smart,0,183.3895006155186
24,98.7563784410859,98.7563784410859,98.7737979995706,0.0,1.0451735090825904,4806.052258675454,4539285.070019517,False,944.4934898128931,0,B_carbon_smart,0,188.7563784410859
25,100.02896807896217,105.02896807896217,105.0707130892103,5.0,2.5047006148880437,7016.125235030744,6684818.870476159,False,952.7792971966338,0,B_carbon_smart,0,190.02896807896218
26,101.40653537698303,105.0707130892103,105.08009350650251,3.6641777122272714,0.5628250375323096,1016.0281412518766,968050.5783539652,False,952.7792971966338,0,B_carbon_smart,0,191.40653537698302
27,107.09320179614903,112.09320179614903,112.10576702500215,5.0,0.753913731187079,3008.0376956865593,3027558.529187152,False,1006.4895574708339,0,B_carbon_smart,0,197.09320179614903
