job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,class,deadline_min
14,67.98352562901842,68.97123055480779,68.98352562901842,0.9877049257893731,0.7377044526373467,3008.036885222632,1659879.6936886404,False,551.814940116929,1,normal,70.98352562901842
15,70.65700897409111,70.65700897409111,70.66973208462886,0.0,0.7633866322648275,3008.038169331613,1513179.6862727983,False,503.0453741246998,0,normal,73.65700897409111
16,80.55595969217245,80.55595969217245,80.57550614302006,0.0,1.1727870508571345,3708.0586393525427,1908909.1839400928,False,514.800160839259,0,normal,83.55595969217245
17,81.65997122542088,81.65997122542088,81.66970764195723,0.0,0.5841849921815423,1016.029209249609,490274.36832020985,False,482.5396394679472,0,normal,84.65997122542088
18,82.61691529530766,82.61691529530766,82.62892498742131,0.0,0.7205815268187066,1812.036029076341,894002.2501634671,False,493.3689153074797,0,normal,85.61691529530766
19,87.26320521209085,88.22066978428299,88.26320521209085,0.9574645721921371,2.552125668472134,7016.127606283424,3951583.4560413654,False,563.214308203638,1,normal,90.26320521209085
20,87.37801902999482,88.33645947554727,88.37801902999482,0.9584404455524549,2.493573266852798,7016.124678663343,3951581.8071638467,False,563.214308203638,1,normal,90.37801902999482
21,87.79787684820067,87.79787684820067,87.81068223442612,0.0,0.7683231735274842,1812.0384161586765,1020565.9629952249,False,563.214308203638,0,priority,89.79787684820067
22,90.99300960867713,90.99300960867713,91.00245527978255,0.0,0.5667402663256693,1016.0283370133163,547826.6453278543,False,501.6645327761764,0,normal,93.99300960867713
23,93.38950061551863,93.38950061551863,93.4014602072437,0.0,0.7175755035046509,1812.0358787751752,879620.6920965104,False,485.43227118167215,0,normal,96.38950061551863
24,98.7563784410859,98.7563784410859,98.7737979995706,0.0,1.0451735090825904,4806.052258675454,2229720.5357346577,False,463.94013542190817,0,normal,101.7563784410859
25,100.02896807896217,100.02896807896217,100.0457130892103,0.0,1.0047006148880437,4806.050235030744,2589318.3939256575,False,538.7622407798435,0,normal,103.02896807896217
26,101.40653537698303,102.39715495969082,102.40653537698303,0.9906195827077937,0.5628250375323096,1016.0281412518766,567726.2581156701,False,558.7702102583091,1,normal,104.40653537698303
