job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,label,seed
103,134.12191588890659,134.12191588890659,134.14102058485807,0.0,1.1462817570885782,3708.0573140878546,2062447.837144986,False,556.2071085873514,0,C_stress_smart,2
104,134.53897379603828,134.53897379603828,134.55136799783213,0.0,0.7436521076310852,1812.0371826053815,1007867.9619897098,False,556.2071085873514,0,C_stress_smart,2
105,136.78074220721265,136.78074220721265,136.82134187892538,0.0,2.4359803027642712,7016.121799015138,4335476.817750207,False,617.9306662490927,0,C_stress_smart,2
106,136.80551271149292,136.82134187892538,136.83408098884615,0.015829167432457325,0.7643465952470364,3008.0382173297626,1858759.0597373133,False,617.9306662490927,0,C_stress_smart,2
107,136.9621214128078,136.9621214128078,136.97597226101908,0.0,0.8310508926770049,3008.0415525446338,1858761.1206688609,False,617.9306662490927,0,C_stress_smart,2
108,137.03791560138043,137.03791560138043,137.04770715040246,0.0,0.5874929413212704,1812.029374647066,966436.9192196263,False,533.3450620290645,0,C_stress_smart,2
109,143.90629938566784,143.90629938566784,143.92328802699913,0.0,1.0193184798783153,4806.050965923994,2650807.8097450673,False,551.5563252532909,0,C_stress_smart,2
110,144.19839674263488,144.19839674263488,144.20791204193787,0.0,0.5709179581795248,1016.028545897909,482909.3905442496,False,475.29116430235865,0,C_stress_smart,2
111,144.80418854447544,144.80418854447544,144.81761294422333,0.0,0.8054639848738907,3008.0402731992435,1429694.9637172534,False,475.29116430235865,0,C_stress_smart,2
112,146.58446994962117,146.58446994962117,146.62607353168264,0.0,2.496214923688959,7016.124810746184,3525252.075167423,False,502.4500233758673,0,C_stress_smart,2
113,147.98868419050913,147.98868419050913,148.00551928583835,0.0,1.010105719752198,4806.050505285988,2727888.8458617893,False,607.6519219689485,0,C_stress_smart,2
114,149.28002163898176,149.28002163898176,149.32226678226235,0.0,2.53470859683535,7016.126735429842,4092390.5494810217,False,583.2834416766422,0,C_stress_smart,2
115,151.02991410252673,151.02991410252673,151.04094879440098,0.0,0.6620815124550795,1812.0331040756228,1009611.0524474536,False,557.1703133770777,0,C_stress_smart,2
116,154.55845051474958,154.55845051474958,154.5713013331015,0.0,0.7710491011155958,1812.0385524550559,981928.232331216,False,541.8914685898058,0,C_stress_smart,2
117,154.59831601487755,154.59831601487755,154.618921093035,0.0,1.2363046894473881,3708.0618152344723,2009367.0626791893,False,541.8914685898058,0,C_stress_smart,2
118,156.33050771742666,156.33050771742666,156.34287749464525,0.0,0.7421866331151634,1812.0371093316558,1000338.1332885078,False,552.0516815781264,0,C_stress_smart,2
119,156.68675417000864,156.68675417000864,156.70105822332624,0.0,0.8582431990555515,3008.0429121599527,1660595.1479170662,False,552.0516815781264,0,C_stress_smart,2
120,157.0003770678042,157.0003770678042,157.0110333913223,0.0,0.6393794110852935,1016.0319689705543,580832.6607387541,False,571.6677018807341,0,C_stress_smart,2
121,157.57766294387037,157.57766294387037,157.59503300943751,0.0,1.0422039340289295,4806.0521101967015,2747464.7649552007,False,571.6677018807341,0,C_stress_smart,2
122,159.27628027685228,159.27628027685228,159.31800993819456,0.0,2.503779680537144,7016.125188984027,3780347.6651511355,False,538.8084681109503,0,C_stress_smart,2
123,159.57279576408646,159.57279576408646,159.5916067858773,0.0,1.1286613074505134,3708.0564330653724,1997932.206368908,False,538.8084681109503,0,C_stress_smart,2
124,159.90941421164413,159.90941421164413,159.95096834072743,0.0,2.493247744998149,7016.12466238725,3780347.381416333,False,538.8084681109503,0,C_stress_smart,2
125,161.07323900805832,161.07323900805832,161.0859310791915,0.0,0.7615242679911648,3008.0380762133996,1536053.660570359,False,510.64967319296215,0,C_stress_smart,2
126,162.9762061746399,162.9762061746399,162.98502055649948,0.0,0.5288629115742293,1016.0264431455787,543840.5814855908,False,535.2622317603086,0,C_stress_smart,2
127,164.66843740477069,164.66843740477069,164.67865278209644,0.0,0.6129226395456494,1016.0306461319773,582872.1325438152,False,573.67573976514,0,C_stress_smart,2
128,166.1579498208397,166.1579498208397,166.19914269629456,0.0,2.4715725272926177,7016.123578626364,3746758.942137359,False,534.0212298357079,0,C_stress_smart,2
129,167.46116075192356,167.46116075192356,167.48030258155856,0.0,1.1485097780994267,3708.0574254889048,2158989.8308314853,False,582.2428250411532,0,C_stress_smart,2
130,173.16544910932845,173.16544910932845,173.2062466084284,0.0,2.447849945996422,7016.1223924973,3579777.656525993,False,510.22166608068767,0,C_stress_smart,2
131,173.61801782954893,173.61801782954893,173.62990817711537,0.0,0.7134208539854456,1812.0356710426993,924539.8590770429,False,510.22166608068767,0,C_stress_smart,2
132,176.02203641252498,176.02203641252498,176.06400197248263,0.0,2.517933597458517,7016.125896679873,3279456.2628081306,False,467.4169635924028,0,C_stress_smart,2
133,176.15513668252504,176.15513668252504,176.17623873041651,0.0,1.2661228734883416,3708.0633061436743,1733211.6913660825,False,467.4169635924028,0,C_stress_smart,2
134,178.76632039940782,178.76632039940782,178.7779754705174,0.0,0.6993042665737953,1812.0349652133286,898739.409061371,False,495.98348062536616,0,C_stress_smart,2
135,180.0640788695131,180.0640788695131,180.10661373597912,0.0,2.552091987960641,7016.127604599398,4063763.5844013686,False,579.2032034504878,0,C_stress_smart,2
136,181.80517729336603,181.80517729336603,181.81967918072166,0.0,0.8701132413386261,3008.0435056620668,1512885.697855374,False,502.9467476144065,0,C_stress_smart,2
137,181.98968060895285,181.98968060895285,182.00730574698298,0.0,1.0575082818074846,4806.0528754140905,2438605.17968056,False,502.9467476144065,0,C_stress_smart,2
138,183.2511737619289,183.2511737619289,183.25920267534033,0.0,0.48173480468615126,1016.0240867402343,560324.0532677744,False,551.4869780946756,0,C_stress_smart,2
139,183.77251060972628,183.77251060972628,183.78686784615894,0.0,0.8614341859601711,3008.043071709298,1658896.5835955862,False,551.4869780946756,0,C_stress_smart,2
140,183.8445541469185,183.8445541469185,183.85483716359207,0.0,0.6169810004124321,1016.0308490500206,560327.7825935633,False,551.4869780946756,0,C_stress_smart,2
141,183.854452362309,183.85483716359207,183.8651903063861,0.0003848012830758307,0.6211885676426674,1016.0310594283822,560327.8986144902,False,551.4869780946756,0,C_stress_smart,2
142,185.20997645885637,185.20997645885637,185.22195248170448,0.0,0.7185613708868129,1812.0359280685443,1103030.8410662818,False,608.7245975536514,0,C_stress_smart,2
143,185.97851252286338,185.97851252286338,186.0204981538303,0.0,2.519137858013538,7016.125956892901,4161351.1842625006,False,608.7245975536514,0,C_stress_smart,2
144,186.564114438857,186.564114438857,186.58104728404052,0.0,1.015970711012619,4806.050798535551,2775495.143717975,False,577.5001680306198,0,C_stress_smart,2
145,187.2382495607013,187.2382495607013,187.25461713294416,0.0,0.982054334573069,4806.049102716729,2579426.4866563897,False,536.7041475290608,0,C_stress_smart,2
146,187.9967526001758,187.9967526001758,188.01183457076047,0.0,0.9049182350812003,4806.045245911754,2662396.5290549025,False,536.7041475290608,0,C_stress_smart,2
147,189.72586325106883,189.72586325106883,189.76743915546223,0.0,2.4945542636046287,7016.124727713181,3276361.4537603725,False,466.97594197819546,0,C_stress_smart,2
148,190.40611145932493,190.40611145932493,190.4254416827845,0.0,1.1598134075739661,3708.057990670379,2079432.7610959113,False,560.7875514158211,0,C_stress_smart,2
149,192.4792133234865,192.4792133234865,192.4967801263303,0.0,1.0540081706268942,4806.052700408532,2602344.7623710306,False,541.4723733990312,0,C_stress_smart,2
150,195.28932810066513,195.28932810066513,195.30242079524348,0.0,0.7855616747002312,3008.039278083735,1886930.4685406224,False,627.2958209982841,0,C_stress_smart,2
151,195.64301053831224,195.64301053831224,195.65974676777566,0.0,1.0041737678053504,4806.05020868839,3014815.211418158,False,627.2958209982841,0,C_stress_smart,2
152,197.69917015469494,197.69917015469494,197.7401288163986,0.0,2.457519702219493,7016.122875985111,3538330.8801029967,False,504.31426909783005,0,C_stress_smart,2
153,199.003431019235,199.003431019235,199.01300550051175,0.0,0.5744688766050936,1016.0287234438302,481770.997226233,False,474.1706470593369,0,C_stress_smart,2
154,200.40417819620362,200.40417819620362,200.42083525198555,0.0,0.9994233469156707,4806.049971167346,2737137.767315748,False,569.5192067782272,0,C_stress_smart,2
155,200.58534025758885,200.58534025758885,200.62576911160195,0.0,2.425731240786823,7016.121286562039,3995815.829782647,False,569.5192067782272,0,C_stress_smart,2
156,202.92983254578286,202.92983254578286,202.94008311671143,0.0,0.6150342557147302,1016.0307517127858,596163.8028409389,False,586.7576368490312,0,C_stress_smart,2
157,205.6169559459954,205.6169559459954,205.6585342191175,0.0,2.4946963873276125,7016.1247348193665,3941118.7764096647,False,561.723020238056,0,C_stress_smart,2
158,206.00115120229532,206.00115120229532,206.01349643579115,0.0,0.7407140097497383,3008.0370357004876,1445928.60048745,False,480.68843013787347,0,C_stress_smart,2
159,207.11934172304024,207.11934172304024,207.13400986231906,0.0,0.8800883567301114,4806.044004417837,2262948.5901897694,False,470.8547379319894,0,C_stress_smart,2
