id,seeds,reduction_mean,reduction_std,fixed_mean_kwh,mpc_mean_kwh,fixed_setpoint,cool_fraction,cop_min_at6,cop_max_at12,ambient_base_c,ambient_swing_c,econ_max_gain,base_it_kw,heat_per_job_kw,cryo_kw
30,6,6.680478943048368,0.018843502894237776,23.468262024813004,21.900468991315964,6.31,1.02,2.44,5.5,21.69,6.76,0.13,1.76,0.44,3.24
28,6,6.6452193492406835,0.02729108710558554,23.111435617860852,21.575626539688233,6.6,1.21,2.34,5.69,23.28,7.95,0.2,1.45,0.5,3.46
45,6,6.511773540244776,0.01588629083948515,17.60592781201571,16.459468949593134,6.56,1.05,2.59,5.67,22.12,7.52,0.17,1.49,0.35,2.23
44,6,6.429347278332949,0.01981874522729133,20.562110722502027,19.240101093965006,6.33,1.15,2.51,5.61,22.93,6.56,0.17,1.37,0.35,3.04
1,6,6.378100034565044,0.018793641060429495,23.57061985244583,22.06726186839769,6.51,1.07,2.31,5.21,23.25,7.74,0.18,1.64,0.41,3.4
39,6,6.342609695840841,0.022613988298835572,21.149540361395456,19.80810522930199,6.03,1.05,2.58,5.31,23.41,7.47,0.16,1.48,0.46,3.02
27,6,6.334015110309053,0.01952105913206535,15.626628727432026,14.636833475770436,6.64,1.08,2.54,5.36,21.45,6.25,0.17,1.27,0.38,2.0
40,6,6.321521923853436,0.022730155964983664,18.106466724210723,16.961860457490392,6.67,1.19,2.51,5.84,23.29,5.54,0.19,1.25,0.39,2.6
24,6,6.313828124387584,0.017870963828601087,24.002807188951206,22.487311334076555,6.57,1.12,2.45,5.75,20.37,6.74,0.14,1.68,0.4,3.48
15,6,6.260028656635857,0.016203498007520446,23.15758405680059,21.707912797641594,6.44,1.15,2.55,5.3,21.63,7.73,0.12,1.69,0.38,3.24
43,6,6.198904897748519,0.013582334063880024,21.48114353975302,20.149548536204907,6.42,1.06,2.53,5.32,22.31,6.61,0.19,1.66,0.32,2.94
32,6,6.119825654480645,0.019007873681097902,21.506842702536357,20.19066187082481,6.14,1.1,2.53,5.51,22.35,5.38,0.19,1.37,0.34,3.29
60,6,6.081801666081475,0.02216531556026465,18.06543442090048,16.966726685123533,6.74,1.12,2.57,5.52,23.02,6.46,0.19,1.39,0.48,2.4
12,6,6.062362423148676,0.023813046470845076,15.952214232822257,14.98512854905914,6.49,1.01,2.52,5.21,23.03,6.54,0.21,1.24,0.47,2.1
23,6,6.057113839732494,0.0222520961561531,17.81957664683689,16.740221783718813,6.73,1.03,2.32,5.25,23.48,6.9,0.17,1.3,0.43,2.48
5,6,5.990827127250527,0.014746511299124307,22.285884215019873,20.950776323265153,6.46,1.08,2.48,5.44,21.57,7.67,0.14,1.57,0.32,3.25
46,6,5.926921794585065,0.016941518203492857,22.022155001038715,20.716919737675948,6.57,1.21,2.5,5.46,22.3,6.69,0.21,1.43,0.33,3.32
55,6,5.841476888736284,0.01728115426426892,23.125501118690767,21.774630099778733,6.69,1.08,2.45,5.62,22.89,5.44,0.15,1.64,0.41,3.35
34,6,5.602483227386691,0.014328098719798033,20.309026498783094,19.171216835199843,6.75,1.05,2.45,5.22,20.65,7.65,0.2,1.53,0.34,2.84
21,6,5.524754869425078,0.022181237126184958,20.07320598451346,18.964209267525185,6.26,1.05,2.5,5.34,22.31,6.81,0.22,1.24,0.4,3.12
26,6,5.514049713258171,0.024044582934756722,20.386625825717136,19.262494961514452,6.31,1.08,2.6,5.75,21.94,6.27,0.21,1.25,0.44,3.18
54,6,5.5011514591439346,0.014869575619149882,21.71561661479288,20.521008054312542,6.8,1.19,2.55,5.38,20.61,5.6,0.16,1.51,0.34,3.17
2,6,5.384217567165801,0.014245151851591684,19.292013159862424,18.253288885086288,6.65,1.0,2.56,5.22,22.92,5.53,0.21,1.52,0.36,2.63
47,6,5.111568552488997,0.020333332111694077,20.452266944162105,19.406834435472497,6.72,1.01,2.36,5.65,23.16,6.82,0.14,1.27,0.4,3.22
